name,phone,whatsapp,address,website,profile_url
A. I Realent Global Resources Ltd,"07068819946, 08157934667",+2347068819946,"Suite 502, Plot 111 &112 Shashilga Court, Ahmadu Bello Expressway, Jahi, Abuja, Nigeria",https://194192.estateagentsng.com,https://nigeriapropertycentre.com/agents/a-i-realent-global-resources-ltd-194192
A.i.t. Real Estate Consult,"08035426255, 09096697331, 08085840767, 08153039792",+2348085840767,"Lagos, Suite 4, Jonwo Plaza, Ilupeju Road, Ilupeju, Lagos, Nigeria",https://aitrealestate.estateagentsng.com,https://nigeriapropertycentre.com/agents/ait-real-estate-consult-60702
A. I Venture,"08027860554, 08133728150, 08027860554, 08095675352",08027860554,"7, Salvation Rd., Opebi- Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/a-i-venture-57479
Ajah Properties Dev And Construction Ltd,"08038541538, 07036285029, 07053390508, 07044447326",+2348038541538,"Suite E 194, Road 2, Ikota Shopping Complex, Ajah, Lagos, Nigeria",https://ajahproperties.estateagentsng.com,https://nigeriapropertycentre.com/agents/ajah-properties-dev-and-construction-ltd-11975
Ajay Properties,"09017968571, 08163565973",+2349017968571,"Zone B House 126 Kpaduma 3 Asokoro Extension,abuja Fct, Asokoro, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/ajay-properties-118287
Aj Realty Solutions,"08130476600, 08130476600",08130476600,"Lakeview, Amuwo Odofin, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/aj-realty-solutions-110419
Akerejolabisoye Global Ltd,"08155321626, 09022262008, 08100472127, 09022262008",08155321626,"Fatima Plaza Behind Wuye Market Abuja, Abuja, Abuja, Nigeria",https://www.instagram.com/akerejolabisoye_global_ltd?igsh=Y3FwOTU1aXh6azdq,https://nigeriapropertycentre.com/agents/akerejolabisoye-global-ltd-106514
Akor Benson Consulting,08069621953,08069621953,"Fct - Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/akor-benson-consulting-40674
Aku Ogu & Associates,"08051335882, 08039207555",08051335882,"Independent Avenue Cbd Garki, Abuja, Fct, Nigeria",https://akuoguandassociates.ng/,https://nigeriapropertycentre.com/agents/aku-ogu-associates-213578
Alphard Limited,"07014115609, 07014115609",07014115609,"Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/alphard-limited-32934
Altezza Global Ltd,08067964759,08067964759,,,https://nigeriapropertycentre.com/agents/altezza-global-ltd-184440
Amaka Osuagwu Consulting,07077889449,,"Zone 5, Ndola Cres, Wuse, Abuja 904101, Federal Capital Territory, Nigeria, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/amaka-osuagwu-consulting-186301
Amarak Realty,"08102441678, 09115127524",09115127524,"Beef Plaza Utako, Utako, Fct Abuja, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/amarak-realty-160855
Ambassador Collins C S Ugwu,"08034293618, 08034293618",2348034293618,"Ajose Adeogun, Utako, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/ambassador-collins-c-s-ugwu-202483
Ambuiltech Project & Services Ventures Ltd,"+2348037348317, +2348037348317, +2348188461227",+2348037348317,"49, Abimbola Street Seaside Estate, Ajah, Lagos State, Nigeria",,https://nigeriapropertycentre.com/agents/ambuiltech-project-services-ventures-ltd-115552
Amicable Realtor,"08160562004, 08160562004",+2348160562004,"No 6 Rudolf Close, By Police House Maitama, Abuja, Maitama, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/amicable-realtor-98679
Amy Properties,"09059662990, 09041250267",+2349041250267,"Lifecamp, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/amy-properties-195951
Andybest,"09061351512, 08148214432",+2349061351512,"Aco Estate Off Airport Rd, Lugbe, Federal Capital Territory, Nigeria",,https://nigeriapropertycentre.com/agents/andybest-188848
Angellic,"07065005554, 09056005332",07065005554,"Chevron, Etiosa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/angellic-144355
Anora Lane Limited,"09034423765, 08131172233, +447340803340",09034423765,"Plot 308 ,cadastral Zone B09 Kado Jahi, , Jahi Area Office, Jahi, Abuja, Nigeria",https://anoralane.com/,https://nigeriapropertycentre.com/agents/anora-lane-limited-223528
Anthrust Properties,"08034973331, 07052145590",+2348034973331,"Chief M I Okoro Avenue, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/anthrust-properties-103194
Apex Luxury,"07060895208, 08117865938",+2347060895208,"No 62 Aliakilu Crescent, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/apex-luxury-239311
Apex Realtors,08147751400,2348147751400,"Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/apex-realtors-119632
Apex Structures,"+2347033787230, +2347033787230",+2348027646811,"3rd Ab. Gwarinpa, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/apex-structures-24182
Ap Global Homes And Investments Ltd,"07049360000, 08063933400",+2348063933400,"Plot 28, Osun Crescent (adi), Maitama, Fct, Abuja, Nigerian",https://listings.abujaproperties.com,https://nigeriapropertycentre.com/agents/ap-global-homes-and-investments-ltd-23405
Aplusa Global Resources Nigeria Limited,"+2348168823794, +2349068143599",+2349099990592,"1, Fatai Oduniyi Street, Brooks Estate, Cmd Road, Magodo Phase 2, Lagos, Nigeria",https://Aplusa.estateagentsng.com,https://nigeriapropertycentre.com/agents/aplusa-global-resources-nigeria-limited-16690
Aradu Apartment,"07012087425, 09039784543",+2347012087425,"Kwali Close, Area 8 Garki, Fct Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/aradu-apartment-161486
Arc&g Real Estate And Investment Limited,"09059561479, 09053240307, 07069442807",09059561479,"Sc3 Sparkle Plaza Off 1st Avenue, Gwarinpa, 1st Avenue, Nigeria",https://arcgrealestateandinvestmentlimited.estateagentsng.com,https://nigeriapropertycentre.com/agents/arcg-real-estate-and-investment-limited-136958
Arinze Onovo Consulting,"08063647009, 09098604100, 08173594407",+2348063647009,"17 Libravelle Close Und St. Fct Central, Wuse Ii, Abuja, Nigeria",https://arinzeonovo.estateagentsng.com,https://nigeriapropertycentre.com/agents/arinze-onovo-consulting-14653
Arisyn Enterprise Limited,08160933055,2348160933055,"Fct-abuja, Nigeria",,https://nigeriapropertycentre.com/agents/arisyn-enterprise-limited-237952
Arofred Resources Int Ltd,"08124897424, 07068709979",+2348124897424,"Igando-oloja, Ajah, Lagos, Nigeria",http://www.arofredresources.com,https://nigeriapropertycentre.com/agents/arofred-resources-int-ltd-45897
Asediqrealtyltd,08147191923,08147191923,"No7 Nasir El Rufai Crescent, Guzape, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/asediqrealtyltd-194860
Asfranz Nig Ltd,"08032002691, 08133707378, 08028879056",08032002691,"No1 Carlcon Street, Opp Next Cash And Carry Jahi, Abuja, Fct, Nigeria",http://www.asfranzmovers.com,https://nigeriapropertycentre.com/agents/asfranz-nig-ltd-99989
Assethive Realty,"07054964767, 07054964767",+2347054964767,"Plot 4 & 5 Liberty Road, Ibadan, Oyo, Nigeria",https://assethiverealty.estateagentsng.com,https://nigeriapropertycentre.com/agents/assethive-realty-98156
Aston Luxury Homes Ltd,"08030781284, 09033966046, 08100308391, 07080455370",+2348030781284,"3rd Floor, Ulo Plaza, Abuja, Wuse7, Abuja, Nigeria",http://astonluxury.ng,https://nigeriapropertycentre.com/agents/aston-luxury-homes-ltd-172246
Ataifiok Udoma Consulting,"07036472606, 07015202407, 09150863065",07036472606,"Sa'ad Zungur Avenue, 4th Avenue, Gwarinpa, Fct Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/ataifiok-udoma-consulting-140767
Autobarn Ventures,+2348128106127,+2348128106127,"Nnpc Street, Gudaba, Gudaba, Kuje Area Council., Fct, Abuja., Nigeria",,https://nigeriapropertycentre.com/agents/autobarn-ventures-56629
Awodd Properties Ltd,09077019583,09077019583,"Madam Cellular Street Off Ajiran Road 21 Agungi , Lekki, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/awodd-properties-ltd-218353
Ayeye & Co,"07036755693, 07036755693, 07037264299",07036755693,"5 Durban Street, Wuse 2, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/ayeye-co-148043
Ayo Arise & Co,"08032973054, 08032973054, 08032973054, 08032973054",08032973054,"N1 James Obiora Close New Site Estate Lugbe Fha Abuja, Lugbe Fha, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/ayo-arise-co-93081
Bachandhouses,"09067536823, 09067536823",+2349067536823,"28 Ishaya Shekaku Crescent, Gwarinpa, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/bachandhouses-44078
Bakare Bolaji And Associates,"08023126169, 08055980137, 08088311813, 08039312447",+2348023126169,"Suite 107b, Samfa Plaza, Ndola Cresent, Wuse Zone 5, Fct-abuja, Nigeria",https://bakarebolajiandassociates.estateagentsng.com,https://nigeriapropertycentre.com/agents/bakare-bolaji-and-associates-25795
Barcode Properties Ltd,"09067408101, 08074479367, 08074479367, 08074479367",+2349067408101,"Suite A5a A.r.o Plaza Wuse Zone 6 Abuja., Wuse Zone 6 Abuja, Abuja F.c.t, Nigeria",,https://nigeriapropertycentre.com/agents/barcode-properties-ltd-30960
Basena Realty,08145527794,2348145527794,"Fct, Nigeria",,https://nigeriapropertycentre.com/agents/basena-realty-213430
Baseplate Nigeria Ltd,"08092859925, +2348092859925, +2348036284689",+2348092859925,"No 2 Lake Valencia Crescent Off Limpopo Maitama. Abuja. Nigeria, Fct/abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/baseplate-nigeria-ltd-206385
Bassemma Global Services Limited,09015833353,09015833353,"Julius Nyerere, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bassemma-global-services-limited-198980
Baycoff Realty,"08025540691, 08119051486",08025540691,"Ikot Obioro Okon Eket, Eket, Akwa Ibom, Nigeria",,https://nigeriapropertycentre.com/agents/baycoff-realty-187164
Bbs Nigeria,"+2349063559321, +2349063559321, +2349063559321",+2349063559321,"5 Admiralty Road, Lekki Phase 1, Lagos, Nigeria",https://bbsnigeria.org,https://nigeriapropertycentre.com/agents/bbs-nigeria-34294
Beatitude Properties,"08034840976, 08111011114",+2348034840976,"43, Olorunfunmi Street, Oworonshoki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/beatitude-properties-226367
Beecots Apartment,09036618005,09036618005,"23 Sanusi Fafunwa Street Victoria Island, Lagos, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/beecots-apartment-173109
Benson Properties,07035925762,07035925762,"Nasiru Erufai Street Guzape, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/benson-properties-228318
Berean Properties Investment Limited,"07067108788, 08123098125",07067108788,"No 1 B12 Close, Citec Estate, Jabi, Jabi, Fct, Abuja",,https://nigeriapropertycentre.com/agents/berean-properties-investment-limited-107126
Berkly Facilities Services Limited,"08184569999, +2348184569999, +2349084568888",+2348184569999,"16 Idowu Martins Street, Victoria Island, Lagos, Nigeria",https://berklyfacilitiesserviceslimited.estateagentsng.com,https://nigeriapropertycentre.com/agents/berkly-facilities-services-limited-37339
Berryfield Integrated Services Nigeria Ltd,"08033749698, 08083817830",+2348033749698,"No 1 Jerome Udorji Close, Off Jf Kennedy, Asokoro, Fct, Nigeria",https://berryfield.estateagentsng.com,https://nigeriapropertycentre.com/agents/berryfield-integrated-services-nigeria-ltd-55435
Bestcity Homes Ng Ltd,"09079689094, 07086878098",2349079689094,"Fct Abuja, Nigeria",http://bestcityrealtors.blogspot.com,https://nigeriapropertycentre.com/agents/bestcity-homes-ng-ltd-168995
Beth Properties,09030772876,09030772876,"Lugbe Airport Road, Abuja, Fct Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/beth-properties-137354
Bevel Realtors,"+2348140955718, +2349019898297",+2348155744538,"Block 90, Flat 3, Lsdpc Estate, Off Bode Thomas Street, Iponri, Surulere, Lagos, Nigeria",https://bevelrealtors.com,https://nigeriapropertycentre.com/agents/bevel-realtors-20229
Beverly & Sam Properties,"08038156271, 08067355711",+2348038156271,"21 Biaduo Street, Keffi Street, Off Awolowo Road, Ikoyi, Lagos, Nigeria",https://BeverlyAndSamProperties.estateagentsng.com,https://nigeriapropertycentre.com/agents/beverly-sam-properties-27740
Biome Properties,"08134764834, 09028473804, 08158599040",08134764834,,,https://nigeriapropertycentre.com/agents/biome-properties-231237
Blessedhomes,"08037386714, 08037386714, 08037386714",08037386714,"14 Faosat Shomade Bako Estates, Irawo, Kosofe, Lagos States, Nigeria",,https://nigeriapropertycentre.com/agents/blessedhomes-18275
Blooms Service Apartment,"08152963571, 08063633344",2348063633344,"Wuse 2, Fct, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/blooms-service-apartment-159565
Blue Empire Realtors & Facilty Consult,"08024237015, 08024237015, 08136480772",+2348024237015,"441 Road, Citec, Gwarimpa Estate, Federal Capital Territory, Nigeria",,https://nigeriapropertycentre.com/agents/blue-empire-realtors-facilty-consult-67723
Bluehedge Realtors,"+2348177766110, 08032065685, 08177766332, 08177766331",+2348177766110,"Suite 510, The Kings Plaza, Plot 307, Ahmadu Bello Way, Kado, Abuja, Nigeria",https://bluehedgeabuja.estateagentsng.com,https://nigeriapropertycentre.com/agents/bluehedge-realtors-105960
Blue-jasmine C.b International Limited,"09034746696, 08189888186",+2349034746696,"37 Libreville Str, Wuse 2, Fct, Nigeria",https://blue-jasmine.estateagentsng.com,https://nigeriapropertycentre.com/agents/blue-jasmine-cb-international-limited-148832
Bluejay Real Property,"08162234343, 08162234343",2348162234343,"69 Road, Gwarinpa, Fct Abuja, Nigeria",http://judecyrilcharles.websites.co.in,https://nigeriapropertycentre.com/agents/bluejay-real-property-164014
Bm Property,08103229540,+2348122630837,"Dar Sa Lam, Wuse 2, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/bm-property-171175
Bolaabdul_properties,07042791104,2347042791104,,,https://nigeriapropertycentre.com/agents/bolaabdul-properties-222594
Bomeh Projects & Properties,07039302249,07039302249,"Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/bomeh-projects-properties-127189
Bonnavillehomes,+2349167333261,+2349167333261,"5d Umar, Abdallah Crescent, Abuja, Nigeria., Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/bonnavillehomes-182515
Boss-ab Global Enterprise,"08034018626, 08034018626",08034018626,"Winners Way, Abuja, Borno, Nigeria",,https://nigeriapropertycentre.com/agents/boss-ab-global-enterprise-140459
Brazen Properties Limited,07055551211,07055551211,"Udi Street, Ikoyi, Lagos, Nigeria",http://www.brazenpropertiesltd.com,https://nigeriapropertycentre.com/agents/brazen-properties-limited-219650
Brimvenatius Properties Nigeria Limited,"08034534947, 07052000043",08034534947,"17 Libravile Street Wuse Ii Abuja, Wuse Ii District, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/brimvenatius-properties-nigeria-limited-110558
Brinn Home Limited,08039175366,08039175366,"11 Moses Majekodunmi Utako Abuja, Abuja, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/brinn-home-limited-175419
Bris Properties,"09028705893, 07069482302",2347069482302,"Shop 69 Fati Abubakar Block, Wuye, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bris-properties-171662
Britari Properties International,09024438484,09024438484,"Ebitu Ukiwe Street, Jabi, Federal Capital Territory, Nigeria",http://britariproperties.com/,https://nigeriapropertycentre.com/agents/britari-properties-international-229850
Britking Homes And Properties Ltd,"+2347063345127, 08084503350",+2347063345127,"Abuja, Abuja-fct, Nigeria",,https://nigeriapropertycentre.com/agents/britking-homes-and-properties-ltd-156511
Brokerfield Real Estate Services Limited,+2348181251091,+2348181251091,"13th Floor, Western House, 8/10 Broad Street, Marina, Lagos Island, Lagos, Nigeria",http://www.brokerfieldres.com/property/,https://nigeriapropertycentre.com/agents/brokerfield-real-estate-services-limited-31411
Brooke Addison Real Estate,"+2348158088032, 08038512848, 07080033884, +2349152413970",+2348158088032,"Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/brooke-addison-real-estate-71124
Bsp Real Estate,"08064811766, 08183256586, 08121651536, 08064811766",08064811766,"91 Ademola Adetokunbo Wuse 2, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bsp-real-estate-171237
Burivistapropertyconsultant,"08122269104, 07067724167",2348122269104,"Sunnyvale, Lokogoma, Abuja, Nigeria",https://www.burivistaproperties.com,https://nigeriapropertycentre.com/agents/burivistapropertyconsultant-133479
Buy&dwell Properties Cac Reg No: 7290116 Efcc Reg No: 121804050,"08051968275, 08104535795, 07011063081",08051968275,"Main Office, Benin City, Partners Office Lagos State, Nigeria",https://buyanddwellproperties.com,https://nigeriapropertycentre.com/agents/buydwell-properties-cac-reg-no-7290116-efcc-reg-no-121804050-36544
Bwp Shortlets,"09039295552, 07072504279",09039295552,"B79 Wisdom Estate, Lugbe, Fct Abuja, Nigeria",https://bwpshortlet.estateagentsng.com,https://nigeriapropertycentre.com/agents/bwp-shortlets-185855
Cadit Properties,08061370291,08061370291,"Port Harcourt, Rivers, Nigeria",,https://nigeriapropertycentre.com/agents/cadit-properties-194036
Caleb Gaadi Consulting,"07035954626, 09095078303",2349095078303,"Wole Olanipekun, Abuja, F.c.t, Nigeria",https://www.calebgaadiconsulting.com,https://nigeriapropertycentre.com/agents/caleb-gaadi-consulting-202000
Caleb Realty,"08164577663, 08164577663, 09043125026",+2348164577663,"Warri, Delta, Nigeria",,https://nigeriapropertycentre.com/agents/caleb-realty-45821
Cammy Integrated Services Ltd,"07039813698, 08085012701",07039813698,"House 6 Delta Close Off Peace Avenue Lugbe, Abuja, Fct, Nigeria",https://Cammyintegratedservicesltd.estateagentsng.com,https://nigeriapropertycentre.com/agents/cammy-integrated-services-ltd-151803
Campeones Enterprise Ltd,"08063433835, 07056003569",+2348063433835,"Number 6 M.a. Sanusi Street, Foreign Affairs Qtrs., Gwarinpa, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/campeones-enterprise-ltd-98410
Candyproperties,"8065670806, 09152323726",08065670806,Lekki,,https://nigeriapropertycentre.com/agents/candyproperties-203573
Capital Homes And Apartment Ltd,09013174323,+2349013174323,"Plot 3749, Zone E27 Apo Resettlement, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/capital-homes-and-apartment-ltd-205426
Carrol Real Estate,07031461209,07031461209,"Daytona Street, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/carrol-real-estate-220959
Casana Hill Ltd,08094466089,+2348094466089,"4 Oyo Street, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/casana-hill-ltd-159378
Castle & Condos Homes Limited,08130006860,2348130006860,"No 4, Patrick Bokkor Crescent Street, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/castle-condos-homes-limited-157209
Castlegeen Limited,08142320958,+2348142320958,"Mkk Plaza Jabi, Jabi, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/castlegeen-limited-68459
Caviar Living Realty,"08180251971, 08131205410",08180251971,"4 Thambo Mbeko Close, Asokoro, Abuja., Galadimawa, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/caviar-living-realty-146861
Cedarhill Properties Ltd,07062967596,07062967596,"Katampe Extension, Abuja, Federal Capital Territory, Nigeria",,https://nigeriapropertycentre.com/agents/cedarhill-properties-ltd-84708
Cephas Brawn Services Limited (cbsl),"+2347061824051, +2349023934086",+2347061824051,"4 Ahmed Joda Street, Kado Abuja., Kado, Fct Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/cephas-brawn-services-limited-cbsl-30276
C'est Moi Virtual Assistance,09021342225,09021342225,"Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/cest-moi-virtual-assistance-235709
Cgs Consolidated Ventures,"08150911714, 07034579922, 07041800436",07034579922,"House B30, Rockview Estate,, Apo, Abuja, Nigeria",https://cgsconsilidatedventuresltd.estateagentsng.com,https://nigeriapropertycentre.com/agents/cgs-consolidated-ventures-109770
